r       ,Kf      ,Km      ,      Ky      ,      Kz      ,      PSI     
  0.3000,130.0000,130.0000,    130.000004,    130.000000,      0.081621
  0.3000,130.0000,150.0000,    148.261651,    148.367581,      0.081621
  0.3000,130.0000,170.0000,    166.340809,    166.735161,      0.081621
  0.3000,150.0000, 20.0000,     22.662032,     30.610726,      0.081621
  0.3000,150.0000, 30.0000,     33.451659,     39.794517,      0.081621
  0.3000,150.0000, 40.0000,     43.966623,     48.978307,      0.081621
  0.3000,150.0000, 50.0000,     54.253382,     58.162097,      0.081621
  0.3000,150.0000, 70.0000,     74.281039,     76.529678,      0.081621
  0.3000,150.0000, 90.0000,     93.748302,     94.897258,      0.081621
  0.3000,150.0000,110.0000,    112.796828,    113.264839,      0.081621
  0.3000,150.0000,130.0000,    131.524239,    131.632419,      0.081621
  0.3000,150.0000,150.0000,    149.999998,    150.000000,      0.081621
